DrugID,DrugName,DrugCUI
DB11372,Altrenogest,C0102819
DB11619,Gestrinone,C0017507
DB11636,Nomegestrol,C0068922
DB12474,Lynestrenol,C0024321
DB13528,Chlormadinone,C0262965
DB13533,Methylestrenolone,C0650248
DB13563,Norgestrienone,C0028369
DB13602,Promegestone,C0033401
DB13685,Quingestanol,C0072866
DB13857,Demegestone,C0057362
DB13981,Nomegestrol acetate,C0132749
DB14678,Norethindrone enanthate,C0068981
DB14679,Quingestanol acetate,C0139693
DB00624,Testosterone,C0039601
DB01420,Testosterone propionate,C0039607
DB01481,1-Testosterone,C1957374
DB01485,4-Hydroxytestosterone,C3816448
DB01510,Dehydrochloromethyltestosterone,C4305760
DB01541,Boldenone,C0057296
DB01543,18-methyl-19-nortestosterone,C4489761
DB01564,Calusterone,C0006790
DB01572,Methyl-1-testosterone,C4550358
DB11429,Mibolerone,C0066502
DB13943,Testosterone cypionate,C0076181
DB13944,Testosterone enanthate,C0076189
DB13946,Testosterone undecanoate,C0076195
DB13958,Trestolone acetate,C0076965
DB00285,Venlafaxine,C0078569
DB00229,Cefotiam,C0007556
DB00267,Cefmenoxime,C0007549
DB00274,Cefmetazole,C0007550
DB00430,Cefpiramide,C0055010
DB00438,Ceftazidime,C0007559
DB00447,Loracarbef,C0065295
DB00493,Cefotaxime,C0007554
DB00535,Cefdinir,C0060405
DB00567,Cephalexin,C0007716
DB00671,Cefixime,C0060400
DB00689,Cephaloglycin,C0007721
DB00833,Cefaclor,C0007537
DB00923,Ceforanide,C0055008
DB01066,Cefditoren,C0287573
DB01112,Cefuroxime,C0007562
DB01140,Cefadroxil,C0007538
DB01150,Cefprozil,C0053882
DB01212,Ceftriaxone,C0007561
DB01326,Cefamandole,C0007541
DB01327,Cefazolin,C0007546
DB01328,Cefonicid,C0007551
DB01329,Cefoperazone,C0007552
DB01330,Cefotetan,C0007555
DB01331,Cefoxitin,C0007557
DB01332,Ceftizoxime,C0007560
DB01413,Cefepime,C0055003
DB01415,Ceftibuten,C0055014
DB01416,Cefpodoxime,C0055011
DB04918,Ceftobiprole,C1100584
DB06590,Ceftaroline fosamil,C2001525
DB09050,Ceftolozane,C3852726
DB09062,Cefminox,C0055006
DB11367,Cefroxadine,C0108941
DB11935,Flomoxef,C0117881
DB13266,Cefatrizine,C0007545
DB13461,Cefcapene,C2699134
DB13470,Cefodizime,C0055007
DB13499,Cefsulodin,C0007558
DB13504,Cefetamet,C0055004
DB13638,Cefbuperazone,C0055000
DB13667,Cefozopran,C0246584
DB13682,Cefpirome,C0062986
DB13778,Cefazedone,C0054999
DB13821,Ceftezole,C0055013
DB14725,Cefamandole nafate,C0054995
DB00620,Triamcinolone,C0040864
DB00232,Methyclothiazide,C0025696
DB00436,Bendroflumethiazide,C0004975
DB00562,Benzthiazide,C0053245
DB00606,Cyclothiazide,C0056831
DB00774,Hydroflumethiazide,C0020273
DB00880,Chlorothiazide,C0008273
DB00999,Hydrochlorothiazide,C0020261
DB01021,Trichlormethiazide,C0040899
DB01324,Polythiazide,C0032613
DB13430,Mebutizide,C0603520
DB13532,Cyclopenthiazide,C0010581
DB06692,Aprotinin,C0003641
DB00727,Nitroglycerin,C0017887
DB04743,Nimesulide,C0132515
DB12445,Nitroaspirin,C0531264
DB12545,Indobufen,C0063479
DB00063,Eptifibatide,C0253563
DB00208,Ticlopidine,C0040207
DB00758,Clopidogrel,C0070166
DB00775,Tirofiban,C0247025
DB01138,Sulfinpyrazone,C0038742
DB01166,Cilostazol,C0055729
DB01207,Ridogrel,C0072926
DB01236,Sevoflurane,C0074414
DB02709,Resveratrol,C0073096
DB04905,Tesmilifene,C1704341
DB05266,Ibudilast,C0123047
DB05767,Andrographolide,C0051821
DB06081,Caplacizumab,C3713057
DB07615,Tranilast,C0146337
DB08887,Icosapent ethyl,C0058978
DB09283,Trapidil,C0040779
DB12092,Naftopidil,C0083701
DB12163,Sarpogrelate,C0286592
DB12321,Ifetroban,C0287939
DB12465,Ketanserin,C0022616
DB12771,Hydroxytyrosol,C0243264
DB13036,Ramatroban,C0753318
DB13327,Picotamide,C0071043
DB13367,Cloricromen,C0050066
DB13400,Linsidomine,C0525082
DB13510,Buflomedil,C0054207
DB13929,Relcovaptan,C0218068
DB00001,Lepirudin,C0772394
DB00006,Bivalirudin,C0168273
DB09125,Potassium citrate,C0137996
DB00009,Alteplase,C0032143
DB00015,Reteplase,C0256103
DB00302,Tranexamic acid,C0040613
DB11091,Hydrogen peroxide,C0020281
DB13729,Camostat,C0129975
DB12726,Monteplase,C1172255
DB00029,Anistreplase,C0078956
DB00031,Tenecteplase,C0872913
DB00054,Abciximab,C0288672
DB00055,Drotrecogin alfa,C1170000
DB00086,Streptokinase,C0038418
DB00261,Anagrelide,C0051809
DB00278,Argatroban,C0048470
DB00407,Ardeparin,C0297269
DB00498,Phenindione,C0031406
DB00569,Fondaparinux,C1098510
DB00682,Warfarin,C0043031
DB00946,Phenprocoumon,C0031444
DB00975,Dipyridamole,C0012582
DB01088,Iloprost,C0079594
DB01109,Heparin,C0019134
DB01225,Enoxaparin,C0206460
DB01240,Epoprostenol,C0033567
DB01418,Acenocoumarol,C0000956
DB03410,4-hydroxycoumarin,C0097101
DB04665,Coumarin,C0010206
DB04898,Ximelagatran,C0966370
DB04932,Defibrotide,C0057257
DB05099,Ancrod,C0002823
DB05229,Beraprost,C0053336
DB06209,Prasugrel,C1620287
DB06228,Rivaroxaban,C1739768
DB06406,Idraparinux,C1433124
DB06441,Cangrelor,C1121991
DB06543,Astaxanthin,C0052565
DB06635,Otamixaban,C1097497
DB06679,Amediplase,C1258217
DB06754,Danaparoid,C0259507
DB06779,Dalteparin,C0206461
DB06822,Tinzaparin,C0216278
DB07767,Ferulic acid,C0060291
DB08794,Ethyl biscoumacetate,C0015056
DB08813,Nadroparin,C0206232
DB08814,Triflusal,C0077126
DB08816,Ticagrelor,C1999375
DB09030,Vorapaxar,C2974521
DB09075,Edoxaban,C2975435
DB09154,Sodium citrate,C0142825
DB09255,Dextran,C0086140
DB09258,Bemiparin,C0916062
DB09259,Reviparin,C0254215
DB09260,Parnaparin,C0215717
DB09261,Certoparin,C0592532
DB11095,Desirudin,C0378366
DB11154,Zinc citrate,C0772239
DB11166,Antithrombin Alfa,C2316217
DB11312,Protein C,C0033621
DB11984,Letaxaban,C3272850
DB12289,Darexaban,C3489971
DB12364,Betrixaban,C2698385
DB12598,Nafamostat,C0207683
DB12831,Gabexate,C0085231
DB13136,Fluindione,C0117899
DB13275,Clorindione,C0055939
DB13347,Diphenadione,C0058366
DB13451,Tioclomarol,C0612505
DB13616,Melagatran,C0668961
DB13646,Saruplase,C0141582
DB14055,(S)-Warfarin,C4688338
DB14598,Edetate calcium disodium anhydrous,C2983900
DB14726,Dabigatran,C2348066
DB06294,Semuloparin,C2700104
DB00655,Estrone,C0014942
DB00890,Dienestrol,C0012145
DB00932,Tipranavir,C0663733
DB01296,Glucosamine,C0017718
DB01238,Aripiprazole,C0299792
DB00752,Tranylcypromine,C0040778
DB00780,Phenelzine,C0031392
DB01171,Moclobemide,C0066673
DB01247,Isocarboxazid,C0022154
DB01626,Pargyline,C0030557
DB00805,Minaprine,C0066561
DB04818,Iproniazid,C0022059
DB04820,Nialamide,C0027999
DB09244,Pirlindole,C0071143
DB09245,Toloxatone,C0076804
DB09243,Hydracarbazine,C2697633
DB09241,Methylene blue,C0025746
DB09248,Mebanazine,C0065831
DB09249,Octamoxin,C2825396
DB09250,Pheniprazine,C0031407
DB09251,Phenoxypropazine,C2347504
DB09253,Safrazine,C0073950
DB09254,Caroxazone,C0054820
DB00614,Furazolidone,C0016855
DB08550,"7,8-Dichloro-1,2,3,4-tetrahydroisoquinoline",C0099559
DB13875,Harmaline,C0018602
DB13876,Brofaromine,C0054085
DB00721,Procaine,C0033218
DB00182,Amphetamine,C0002658
DB01168,Procarbazine,C0033223
DB00601,Linezolid,C0663241
DB06654,Safinamide,C1098261
DB09220,Nicorandil,C0068700
DB01037,Selegiline,C0036579
DB01367,Rasagiline,C0525678
DB00241,Butalbital,C0054234
DB00312,Pentobarbital,C0030883
DB00418,Secobarbital,C0036516
DB00474,Methohexital,C0025668
DB00599,Thiopental,C0039925
DB00794,Primidone,C0033148
DB01154,Thiamylal,C0039855
DB01174,Phenobarbital,C0031412
DB01351,Amobarbital,C0002640
DB01355,Hexobarbital,C0019469
DB01483,Barbital,C0004743
DB09001,Barbexaclone,C0105205
DB00898,Ethanol,C0001962
DB14185,Aripiprazole lauroxil,C4056439
DB00005,Etanercept,C0717758
DB06273,Tocilizumab,C1609165
DB00072,Trastuzumab,C0728747
DB00864,Tacrolimus,C0085149
DB01601,Lopinavir,C0674432
DB09083,Ivabradine,C0257190
DB11642,Pitolisant,C3529928
DB00328,Indomethacin,C0021246
DB00681,Amphotericin B,C0002679
DB00795,Sulfasalazine,C0036078
DB00958,Carboplatin,C0079083
DB09299,Tenofovir alafenamide,C3713958
DB11466,Tepoxalin,C0145162
DB14126,Tenofovir,C0384228
DB14500,Potassium,C0032821
DB00819,Acetazolamide,C0000981
DB00872,Conivaptan,C0966107
DB09046,Metreleptin,C0961965
DB00503,Ritonavir,C0292818
DB01656,Roflumilast,C0965618
DB00008,Peginterferon alfa-2a,C0391001
DB00011,Interferon alfa-n1,C0699817
DB00472,Fluoxetine,C0016365
DB00656,Trazodone,C0040805
DB01104,Sertraline,C0074393
DB01175,Escitalopram,C1099456
DB04884,Dapoxetine,C0215087
DB06731,Seproxetine,C2699289
DB08953,Indalpine,C0063448
DB00715,Paroxetine,C0070122
DB00529,Foscarnet,C0070895
DB00738,Pentamidine,C0030863
DB06292,Dapagliflozin,C2353951
DB09235,Efonidipine,C0286819
DB11827,Ertugliflozin,C4079805
DB00317,Gefitinib,C1122962
DB00619,Imatinib,C0935989
DB01254,Dasatinib,C1455147
DB01259,Lapatinib,C1506770
DB01268,Sunitinib,C1176020
DB01645,Genistein,C0061202
DB04868,Nilotinib,C1721377
DB05294,Vandetanib,C1121849
DB05928,Dovitinib,C2699806
DB06469,Lestaurtinib,C1541677
DB06589,Pazopanib,C1831796
DB06595,Midostaurin,C0526371
DB06616,Bosutinib,C1831731
DB06626,Axitinib,C1700874
DB08865,Crizotinib,C2974289
DB08881,Vemurafenib,C3192263
DB08896,Regorafenib,C2980094
DB08901,Ponatinib,C2987417
DB08916,Afatinib,C2987648
DB09053,Ibrutinib,C3501358
DB09063,Ceritinib,C3818721
DB09078,Lenvatinib,C2986924
DB09079,Nintedanib,C2930789
DB09330,Osimertinib,C4058811
DB11703,Acalabrutinib,C4078312
DB11737,Icotinib,C2604307
DB11805,Saracatinib,C2828242
DB11828,Neratinib,C2713008
DB11963,Dacomitinib,C2987430
DB12010,Fostamatinib,C2713632
DB12141,Gilteritinib,C3896940
DB12147,Erdafitinib,C4519323
DB12267,Brigatinib,C4287815
DB14723,Larotrectinib,C4524315
DB00041,Aldesleukin,C0218986
DB00850,Perphenazine,C0031184
DB00018,Interferon alfa-n3,C1621234
DB00022,Peginterferon alfa-2b,C0796545
DB00176,Fluvoxamine,C0085228
DB00476,Duloxetine,C0245561
DB01149,Nefazodone,C0068485
DB00930,Colesevelam,C0541155
DB00264,Metoprolol,C0025859
DB00571,Propranolol,C0033497
DB01136,Carvedilol,C0054836
DB01182,Propafenone,C0033429
DB04861,Nebivolol,C0068475
DB00394,Beclomethasone dipropionate,C0004906
DB00443,Betamethasone,C0005308
DB00635,Prednisone,C0032952
DB00764,Mometasone,C0360564
DB01380,Cortisone acetate,C0056391
DB01384,Paramethasone,C0030454
DB01410,Ciclesonide,C0907850
DB08906,Fluticasone furoate,C1948374
DB08970,Fluprednidene,C0771950
DB08971,Fluocortolone,C0016301
DB09383,Meprednisone,C0065967
DB11487,Dexamethasone isonicotinate,C0011779
DB11750,Clobetasol,C0008992
DB11921,Deflazacort,C0057258
DB13003,Cortivazol,C0056396
DB13208,Prednylidene,C0044955
DB13728,Halometasone,C0062097
DB13843,Cloprednol,C0055936
DB13867,Fluticasone,C0082607
DB14512,Mometasone furoate,C0066700
DB01118,Amiodarone,C0002598
DB00398,Sorafenib,C1516119
DB08877,Ruxolitinib,C2931926
DB00829,Diazepam,C0012010
DB01233,Metoclopramide,C0025853
DB00658,Sevelamer,C0718050
DB00026,Anakinra,C0245109
DB01059,Norfloxacin,C0028365
DB01137,Levofloxacin,C0282386
DB00344,Protriptyline,C0033743
DB00543,Amoxapine,C0002644
DB08907,Canagliflozin,C2974540
DB00104,Octreotide,C0028833
DB00220,Nelfinavir,C0525005
DB00246,Ziprasidone,C0380393
DB00363,Clozapine,C0009079
DB00477,Chlorpromazine,C0008286
DB00502,Haloperidol,C0018546
DB00627,Niacin,C0027996
DB00668,Epinephrine,C0014563
DB00734,Risperidone,C0073393
DB00877,Sirolimus,C0072980
DB01169,Arsenic trioxide,C0052416
DB01267,Paliperidone,C0753678
DB02546,Vorinostat,C0672708
DB06287,Temsirolimus,C1707080
DB06663,Pasireotide,C1872203
DB06791,Lanreotide,C0209211
DB08912,Dabrafenib,C3467876
DB01261,Sitagliptin,C1565750
DB06203,Alogliptin,C1958126
DB06335,Saxagliptin,C1611934
DB08882,Linagliptin,C2746078
DB01264,Darunavir,C1435444
DB06290,Simeprevir,C2605855
DB00191,Phentermine,C0031447
DB01611,Hydroxychloroquine,C0020336
DB00033,Interferon gamma-1b,C0021741
DB00056,Gemtuzumab ozogamicin,C1533699
DB00068,Interferon beta-1b,C0244713
DB00069,Interferon alfacon-1,C0164613
DB00073,Rituximab,C0393022
DB00078,Ibritumomab tiuxetan,C0877880
DB00081,Tositumomab,C0879399
DB00087,Alemtuzumab,C0383429
DB00105,Interferon alfa-2b,C0021735
DB00120,Phenylalanine,C0031453
DB00188,Bortezomib,C1176309
DB00242,Cladribine,C0092801
DB00262,Carmustine,C0007257
DB00276,Amsacrine,C0002699
DB00291,Chlorambucil,C0008163
DB00293,Raltitrexed,C0677667
DB00305,Mitomycin,C0002475
DB00307,Bexarotene,C0765273
DB00309,Vindesine,C0042682
DB00322,Floxuridine,C0016343
DB00361,Vinorelbine,C0078257
DB00380,Dexrazoxane,C0086444
DB00428,Streptozocin,C0038432
DB00441,Gemcitabine,C0045093
DB00444,Teniposide,C0039512
DB00445,Epirubicin,C0014582
DB00446,Chloramphenicol,C0008168
DB00480,Lenalidomide,C1144149
DB00488,Altretamine,C0019453
DB00495,Zidovudine,C0043474
DB00515,Cisplatin,C0008838
DB00526,Oxaliplatin,C0069717
DB00531,Cyclophosphamide,C0010583
DB00544,Fluorouracil,C0016360
DB00552,Pentostatin,C0030896
DB00564,Carbamazepine,C0006949
DB00570,Vinblastine,C0042670
DB00631,Clofarabine,C0092777
DB00642,Pemetrexed,C0210657
DB00694,Daunorubicin,C0011015
DB00762,Irinotecan,C0123931
DB00851,Dacarbazine,C0010927
DB00853,Temozolomide,C0076080
DB00859,Penicillamine,C0030817
DB00888,Mechlorethamine,C0025033
DB00928,Azacitidine,C0004475
DB00970,Dactinomycin,C0010934
DB00987,Cytarabine,C0010711
DB01005,Hydroxyurea,C0020402
DB01008,Busulfan,C0006463
DB01030,Topotecan,C0146224
DB01033,Mercaptopurine,C0000618
DB01041,Thalidomide,C0039736
DB01042,Melphalan,C0025241
DB01073,Fludarabine,C0059985
DB01099,Flucytosine,C0016278
DB01101,Capecitabine,C0671970
DB01177,Idarubicin,C0020789
DB01181,Ifosfamide,C0020823
DB01206,Lomustine,C0023972
DB01229,Paclitaxel,C0144576
DB01248,Docetaxel,C0246415
DB01262,Decitabine,C0049065
DB01280,Nelarabine,C0907349
DB04572,Thiotepa,C0039871
DB04845,Ixabepilone,C1135132
DB05015,Belinostat,C1948068
DB05109,Trabectedin,C1311070
DB06769,Bendamustine,C0525079
DB06772,Cabazitaxel,C2830183
DB08871,Eribulin,C2350866
DB08889,Carfilzomib,C2001856
DB08895,Tofacitinib,C2930696
DB08910,Pomalidomide,C2347624
DB08935,Obinutuzumab,C2742503
DB09042,Tedizolid phosphate,C2930762
DB09052,Blinatumomab,C3853839
DB09073,Palbociclib,C3853822
DB09074,Olaparib,C2316164
DB09077,Dinutuximab,C0281581
DB09122,Peginterferon beta-1a,C3848580
DB12814,Cepeginterferon alfa-2B,C3871458
DB00193,Tramadol,C0040610
DB00342,Terfenadine,C0085173
DB00420,Promazine,C0033399
DB00622,Nicardipine,C0028005
DB01036,Tolterodine,C0388753
DB01062,Oxybutynin,C0069805
DB01069,Promethazine,C0033405
DB01173,Orphenadrine,C0029309
DB01409,Tiotropium,C0213771
DB01591,Solifenacin,C1099677
DB06702,Fesoterodine,C2343853
DB11988,Ocrelizumab,C1882138
DB00230,Pregabalin,C0657912
DB00408,Loxapine,C0024056
DB00051,Adalimumab,C1122087
DB00059,Pegaspargase,C0071568
DB00065,Infliximab,C0666743
DB00591,Fluocinolone acetonide,C0016298
DB00741,Hydrocortisone,C0020268
DB01108,Trilostane,C0077144
DB01234,Dexamethasone,C0011777
DB01285,Corticotropin,C0001655
DB04630,Aldosterone,C0002006
DB09378,Fluprednisolone,C0016369
DB11529,Melengestrol,C0376337
DB13223,Fluocortin,C3652567
DB13491,Fluperolone,C3652595
DB13664,Formocortal,C3652565
DB13856,Fluclorolone,C0360537
DB14538,Hydrocortisone aceponate,C0082944
DB00501,Cimetidine,C0008783
DB00568,Cinnarizine,C0008803
DB00972,Azelastine,C0052762
DB01114,Chlorpheniramine,C0008281
DB01624,Zuclopenthixol,C0376160
DB06148,Mianserin,C0025912
DB00206,Reserpine,C0035179
DB00270,Isradipine,C0071304
DB00343,Diltiazem,C0012373
DB00590,Doxazosin,C0114873
DB01054,Nitrendipine,C0028127
DB01244,Bepridil,C0005116
DB01388,Mibefradil,C0286185
DB09239,Niguldipine,C0068753
DB11362,Selexipag,C2000145
DB14068,Dexniguldipine,C0208704
DB00074,Basiliximab,C0676831
DB00082,Pegvisomant,C0913469
DB00295,Morphine,C0026549
DB00333,Methadone,C0025605
DB00497,Oxycodone,C0030049
DB00813,Fentanyl,C0015846
DB00921,Buprenorphine,C0006405
DB01192,Oxymorphone,C0030073
DB01466,Ethylmorphine,C0015109
DB01551,Dihydrocodeine,C0058056
DB11130,Opium,C0029112
DB09091,Tixocortol,C0146010
DB00180,Flunisolide,C0060501
DB00588,Fluticasone propionate,C0117996
DB00687,Fludrocortisone,C0016280
DB00860,Prednisolone,C0032950
DB14539,Hydrocortisone acetate,C0063077
DB01222,Budesonide,C0054201
DB00499,Flutamide,C0016384
DB01128,Bicalutamide,C0285590
DB08899,Enzalutamide,C3496793
DB11901,Apalutamide,C4329353
DB01026,Ketoconazole,C0022625
DB08873,Boceprevir,C1738934
DB01200,Bromocriptine,C0006230
DB00625,Efavirenz,C0674428
DB00973,Ezetimibe,C1142985
DB00196,Fluconazole,C0016277
DB00252,Phenytoin,C0031507
DB01320,Fosphenytoin,C0244656
DB00400,Griseofulvin,C0018242
DB09027,Ledipasvir,C3851350
DB06413,Armodafinil,C1701455
DB00745,Modafinil,C0066677
DB00607,Nafcillin,C0027324
DB00338,Omeprazole,C0028978
DB00736,Esomeprazole,C0937846
DB01083,Orlistat,C0076275
DB00339,Pyrazinamide,C0034239
DB01369,Quinupristin,C0756081
DB06207,Silodosin,C1870115
DB05521,Telaprevir,C1876229
DB04908,Flibanserin,C0754280
DB08820,Ivacaftor,C3264621
DB09143,Sonidegib,C3886731
DB04894,Vapreotide,C0164678
DB09099,Somatostatin,C0037659
DB00126,Ascorbic acid,C0003968
DB00199,Erythromycin,C0014806
DB00207,Azithromycin,C0052796
DB00954,Dirithromycin,C0058445
DB00976,Telithromycin,C0907410
DB01152,Candicidin,C0006834
DB01211,Clarithromycin,C0055856
DB01321,Josamycin,C0022419
DB01873,Epothilone D,C0962559
DB04070,6-Deoxyerythronolide B,C0049549
DB05903,KOS-1584,C2700006
DB06233,Ridaforolimus,C2713007
DB06318,AVE9633,C3501972
DB06342,Coltuximab ravtansine,C4508929
DB06419,Cethromycin,C1317928
DB06587,Mitemcinal,C2000403
DB07348,Brefeldin A,C0054036
DB09308,Solithromycin,C3655918
DB09309,Kitasamycin,C0022723
DB11383,Carbomycin,C0054700
DB11400,Doramectin,C0248572
DB11405,Eprinomectin,C0529813
DB11442,Oleandomycin,C0028923
DB11459,Selamectin,C0961275
DB11470,Tildipirosin,C3464669
DB11471,Tilmicosin,C0076681
DB11475,Tylosin,C0041441
DB11554,Tylvalosin,C2744563
DB11752,Bryostatin 1,C0054173
DB12089,Lorvotuzumab mertansine,C2987530
DB12266,Epofolate,C4519101
DB12391,Sagopilone,C2355512
DB12489,Mirvetuximab Soravtansine,C4288736
DB13179,Troleandomycin,C0041165
DB13287,Miocamycin,C0026202
DB13338,Flurithromycin,C0060591
DB13409,Rokitamycin,C0073560
DB13456,Midecamycin,C0066531
DB13633,Mepartricin,C0025373
DB00238,Nevirapine,C0132326
DB11586,Asunaprevir,C3491974
DB00514,Dextromethorphan,C0011816
DB00731,Nateglinide,C0903898
DB00904,Ondansetron,C0061851
DB01184,Domperidone,C0013015
DB09068,Vortioxetine,C3661282
DB11915,Valbenazine,C4078701
DB12161,Deutetrabenazine,C4277781
DB00281,Lidocaine,C0023660
DB00316,Acetaminophen,C0000970
DB00490,Buspirone,C0006462
DB00637,Astemizole,C0085170
DB00836,Loperamide,C0023992
DB01100,Pimozide,C0031935
DB01392,Yohimbine,C0724441
DB06770,Benzyl alcohol,C0005100
DB08893,Mirabegron,C2983812
DB09048,Netupitant,C1700730
DB12070,Letermovir,C3852938
DB12332,Rucaparib,C3661315
DB13874,Enasidenib,C4519428
DB00675,Tamoxifen,C0039286
DB01115,Nifedipine,C0028066
DB04920,Clevidipine,C0766108
DB00705,Delavirdine,C0288165
DB00184,Nicotine,C0028040
DB00185,Cevimeline,C0093437
DB00297,Bupivacaine,C0006400
DB00356,Chlorzoxazone,C0008296
DB00370,Mirtazapine,C0049506
DB00377,Palonosetron,C0220578
DB00379,Mexiletine,C0025887
DB00433,Prochlorperazine,C0033229
DB00589,Lisuride,C0023863
DB00674,Galantamine,C0016967
DB00701,Amprenavir,C0754188
DB00757,Dolasetron,C0209210
DB00843,Donepezil,C0527316
DB00918,Almotriptan,C0914729
DB01028,Methoxyflurane,C0025688
DB01074,Perhexiline,C0031013
DB02703,Fusidic acid,C0016875
DB03783,Phenacetin,C0031364
DB04829,Lysergic acid diethylamide,C0024334
DB04841,Flunarizine,C0016295
DB04871,Lorcaserin,C2350948
DB05271,Rotigotine,C1700683
DB06016,Cariprazine,C2936870
DB06144,Sertindole,C0084528
DB06684,Vilazodone,C1530072
DB08922,Perospirone,C0084572
DB09183,Dasabuvir,C3852512
DB09195,Lorpiprazole,C2825691
DB09555,Dexchlorpheniramine maleate,C0137440
DB09570,Ixazomib,C3273711
DB11614,Rupatadine,C0534301
DB11718,Encorafenib,C4079208
DB12245,Triclabendazole,C0077071
DB13293,Ipecac,C0022046
DB05239,Cobimetinib,C4049146
DB11633,Isavuconazole,C1832021
DB00539,Toremifene,C0076836
DB01167,Itraconazole,C0064113
DB04851,Biricodar,C0754576
DB04881,Elacridar,C1567656
DB06191,Zosuquidar,C2700337
DB06240,Tariquidar,C0879444
DB06636,Isavuconazonium,C4018471
DB09034,Suvorexant,C3179535
DB09065,Cobicistat,C3177235
DB09102,Daclatasvir,C3252090
DB09291,Rolapitant,C3273719
DB11581,Venetoclax,C4079830
DB11613,Velpatasvir,C4079582
DB11672,Curcumin,C0010467
DB11869,Valspodar,C0753474
DB11978,Glasdegib,C4519273
DB12026,Voxilaprevir,C4507236
DB12035,Sarecycline,C4519292
DB12799,Laniquidar,C0916124
DB13878,Pibrentasvir,C4519537
DB13879,Glecaprevir,C4519536
DB14568,Ivosidenib,C4682397
DB12582,Piperine,C0071112
DB12466,Favipiravir,C1138226
DB09449,"Sodium phosphate, monobasic",C0770578
DB09483,Potassium lactate,C0982353
DB11107,Potassium bitartrate,C0727538
DB11153,Potassium hydroxide,C0071767
DB13620,Potassium gluconate,C0301527
DB13735,Potassium Guaiacolsulfonate,C0304572
DB13831,Potassium permanganate,C0032838
DB13977,Potassium carbonate,C0071755
DB14492,Potassium triiodide,C3555496
DB00648,Mitotane,C0026256
DB06414,Etravirine,C1456409
DB06442,Avasimibe,C0965226
DB00273,Topiramate,C0076829
DB00615,Rifabutin,C0140575
DB00949,Felbamate,C0060135
DB04911,Oritavancin,C1144403
DB06201,Rufinamide,C0213404
DB08909,Glycerol phenylbutyrate,C3490329
DB09119,Eslicarbazepine acetate,C2725262
DB00349,Clobazam,C0055891
DB00136,Calcitriol,C0006674
DB00197,Troglitazone,C0245514
DB00357,Aminoglutethimide,C0002555
DB00439,Cerivastatin,C0528023
DB00485,Dicloxacillin,C0012093
DB00754,Ethotoin,C0015046
DB00769,Hydrocortamate,C0544368
DB00857,Terbinafine,C0076110
DB01011,Metyrapone,C0025876
DB01201,Rifapentine,C0073372
DB01221,Ketamine,C0022614
DB01352,Aprobarbital,C0051241
DB01609,Deferasirox,C1619629
DB06708,Lumefantrine,C0531104
DB06739,Seratrodast,C0050339
DB08905,Formestane,C0048306
DB08911,Trametinib,C2697961
DB13955,Estradiol dienanthate,C0626260
