DrugID,DrugName,DrugCUI
DB00171,Atp,C0001480
DB00172,L-proline,C0033382
DB00174,L-asparagine,C0003995
DB00179,Masoprocol,C0733397
DB00183,Pentagastrin,C0030859
DB00192,Indecainide,C0063455
DB00210,Adapalene,C0165631
DB00212,Remikiren,C0209499
DB00217,Bethanidine,C0005324
DB00226,Guanadrel,C0061938
DB00251,Terconazole,C0076115
DB00272,Betazole,C0005321
DB00278,Argatroban,C0048470
DB00287,Travoprost,C0937916
DB00298,Dapiprazole,C0057143
DB00302,Tranexamic acid,C0040613
DB00336,Nitrofural,C0028157
DB00348,Nitisinone,C0173083
DB00362,Anidulafungin,C1142738
DB00371,Meprobamate,C0025386
DB00385,Valrubicin,C0068314
DB00403,Ceruletide,C0006639
DB00405,Dexbrompheniramine,C0057605
DB00406,Gentian violet,C0017440
DB00411,Carbachol,C0006945
DB00419,Miglustat,C1321596
DB00423,Methocarbamol,C0025659
DB00427,Triprolidine,C0041098
DB00429,Carboprost tromethamine,C0054721
DB00431,Lindane,C0005038
DB00450,Droperidol,C0013136
DB00459,Acitretin,C0050559
DB00464,Sodium tetradecyl sulfate,C0037556
DB00466,Picrotoxin,C0031890
DB00473,Hexylcaine,C0062686
DB00504,Levallorphan,C0023554
DB00509,Dextrothyroxine,C0011824
DB00513,Aminocaproic acid,C0000608
DB00522,Bentiromide,C0053122
DB00525,Tolnaftate,C0040379
DB00534,Chlormerodrin,C0008217
DB00551,Acetohydroxamic acid,C0050451
DB00561,Doxapram,C0013084
DB00587,Cinalukast,C0287390
DB00600,Monobenzone,C0050962
DB00616,Candoxatril,C0077782
DB00632,Docosanol,C0075770
DB00640,Adenosine,C0001443
DB00644,Gonadorelin,C0023610
DB00659,Acamprosate,C0284941
DB00666,Nafarelin,C0064906
DB00686,Pentosan polysulfate,C0600296
DB00702,Icodextrin,C0538727
DB00707,Porfimer sodium,C1130428
DB00729,Diphemanil methylsulfate,C0058365
DB00735,Naftifine,C0068367
DB00746,Deferoxamine,C0011145
DB00748,Carbinoxamine,C0054672
DB00756,Hexachlorophene,C0019435
DB00765,Metyrosine,C0886584
DB00766,Clavulanate,C0110038
DB00768,Olopatadine,C0527189
DB00770,Alprostadil,C0002335
DB00785,Cryptenamine,C0086079
DB00786,Marimastat,C0338344
DB00797,Tolazoline,C0040373
DB00809,Tropicamide,C0041190
DB00815,Sodium lauryl sulfate,C0037506
DB00824,Enprofylline,C0059372
DB00848,Levamisole,C0023556
DB00855,Aminolevulinic acid,C0002563
DB00858,Drostanolone,C0058753
DB00868,Benzonatate,C0053229
DB00878,Chlorhexidine,C0008196
DB00902,Methdilazine,C0066101
DB00913,Anileridine,C0051908
DB00919,Spectinomycin,C0001268
DB00920,Ketotifen,C0022642
DB00922,Levosimendan,C0246904
DB00926,Etretinate,C0015137
DB00929,Misoprostol,C0085174
DB00943,Zalcitabine,C0012132
DB00963,Bromfenac,C0054094
DB00974,Edetic acid,C0013618
DB00979,Cyclopentolate,C0010582
DB00984,Nandrolone phenpropionate,C0068397
DB00985,Dimenhydrinate,C0012381
DB00992,Methyl aminolevulinate,C1134467
DB01003,Cromoglicic acid,C0086073
DB01019,Bethanechol,C0053526
DB01025,Amlexanox,C0103049
DB01031,Ethinamate,C0059714
DB01034,Cerulenin,C0007839
DB01038,Carphenazine,C0771221
DB01055,Mimosine,C0026153
DB01057,Echothiophate,C0301366
DB01084,Emedastine,C0064263
DB01088,Iloprost,C0079594
DB01089,Deserpidine,C0175158
DB01091,Butenafine,C0107497
DB01106,Levocabastine,C0064870
DB01107,Methyprylon,C0025840
DB01113,Papaverine,C0030350
DB01123,Proflavine,C0033294
DB01125,Anisindione,C0051919
DB01143,Amifostine,C0015020
DB01146,Diphenylpyraline,C0058389
DB01153,Sertaconazole,C0074391
DB01160,Dinoprost tromethamine,C0058310
DB01162,Terazosin,C0076107
DB01179,Podofilox,C0032334
DB01185,Fluoxymesterone,C0016366
DB01188,Ciclopirox,C0055711
DB01189,Desflurane,C0063252
DB01207,Ridogrel,C0072926
DB01237,Bromodiphenhydramine,C0054120
DB01269,Panitumumab,C0879427
DB01270,Ranibizumab,C1566537
DB01271,Idursulfase,C1429223
DB01272,Alglucosidase alfa,C1695579
DB01277,Mecasermin,C0904505
DB01278,Pramlintide,C0537551
DB01279,Galsulfase,C1615657
DB01282,Carbetocin,C0054670
DB01296,Glucosamine,C0017718
DB01346,Quinidine barbiturate,C4256169
DB01422,Nitroxoline,C0068881
DB01425,Alizapride,C0051162
DB01426,Ajmaline,C0001888
DB01430,Almitrine,C0002164
DB01437,Glutethimide,C0017845
DB01439,3-methylthiofentanyl,C4305979
DB01440,Gamma hydroxybutyric acid,C0673093
DB01444,Dimethylthiambutene,C1880335
DB01463,Fencamfamine,C0060157
DB01488,Dimethyltryptamine,C0027183
DB01520,Tenocyclidine,C0044091
DB01525,Ecgonine,C0058916
DB01548,Diprenorphine,C0012572
DB01549,Rolicyclidine,C0044103
DB01561,Androstanedione,C0002860
DB01571,3-methylfentanyl,C0047589
DB01579,Phendimetrazine,C0070549
DB01597,Cilastatin,C0008777
DB01599,Probucol,C0033215
DB01612,Amyl nitrite,C0002711
DB01613,Erythrityl tetranitrate,C0014758
DB01616,Alverine,C0051528
DB01618,Molindone,C0026388
DB01619,Phenindamine,C0070563
DB01620,Pheniramine,C0031408
DB01630,Sc-74020,C1143926
DB01632,Alpha-phosphoribosylpyrophosphoric acid,C4535437
DB01646,N-acetylmethionine,C0067748
DB01647,Daxalipram,C2827128
DB01668,Nanaomycin d,C0064222
DB01675,Methacrylyl-coenzyme a,C0284471
DB01677,Fumaric acid,C0060825
DB01681,Benzene hexacarboxylic acid,C0065924
DB01686,"N,n-dimethylarginine",C0067385
DB01688,P-cresol,C0048212
DB01692,Dithioerythritol,C0012786
DB01700,Aica ribonucleotide,C0051028
DB01711,"2,3,4,5,6-pentafluorobenzyl alcohol",C0254588
DB01718,Cetrimonium,C0055151
DB01726,2-aminophenol,C0045894
DB01727,Isocitric acid,C1304810
DB01747,Coprogen,C0056314
DB01750,1-naphthaleneacetic acid,C0044494
DB01752,S-adenosyl-l-homocysteine,C0036001
DB01760,2-methoxy-3-isopropylpyrazine,C0609963
DB01762,Acetoacetic acid,C0050445
DB01776,M-cresol,C0047317
DB01780,Fusicoccin,C0060888
DB01783,Pantothenic acid,C0030342
DB01785,Dimethylallyl diphosphate,C0046917
DB01791,Piclamilast,C0295451
DB01796,Quinolinic acid,C0072879
DB01819,Phosphoenolpyruvate,C0031642
DB01828,Methylamine,C0066318
DB01829,Desulfo-coenzyme a,C0244344
DB01839,Propylene glycol,C0072225
DB01840,2-deoxy-d-glucitol 6-(e)-vinylhomophosphonate,C3657535
DB01844,"N,n-dimethylformamide",C0012426
DB01853,Bacteriochlorophyll a,C0600166
DB01859,4-diphosphocytidyl-2-c-methyl-d-erythritol 2-phosphate,C0913633
DB01860,Cordycepin triphosphate,C0046803
DB01861,Uridine diphosphate glucose,C0041988
DB01863,"Inositol 1,3,4,5-tetrakisphosphate",C0123619
DB01880,"3,4-dihydroxycinnamic acid",C0054433
DB01910,Sinefungin,C0074558
DB01911,N-methylmesoporphyrin,C1956174
DB01914,D-glucose,C0017725
DB01917,Putrescine,C0034170
DB01919,Pentanal,C0070306
DB01927,Duroquinone,C0058823
DB01933,7-hydroxystaurosporine,C0077681
DB01936,Alpha-d-arabinofuranose,C4534682
DB01942,Formic acid,C0016576
DB01950,"N-(4-methoxybenzyl)-n'-(5-nitro-1,3-thiazol-2-yl)urea",C1432890
DB01951,Gpi-1046,C0536942
DB01954,Rolipram,C0073561
DB01955,"1,4-butanediol",C0043992
DB01956,Taurine,C0039350
DB01957,3-chlorophenol,C0377393
DB01987,Cocarboxylase,C0039848
DB01990,Cholesterol sulfate,C0055565
DB01991,Tu-514,C1504828
DB01992,Coenzyme a,C0009226
DB01996,3-methylpyridine,C0378081
DB01997,3-bromo-7-nitroindazole,C0540526
DB02010,Staurosporine,C0075193
DB02011,N-(phosphonoacetyl)-l-ornithine,C0067268
DB02020,Alrestatin,C0051486
DB02021,Fidarestat,C0905478
DB02022,4-amino-5-hydroxymethyl-2-methylpyrimidine,C0530759
DB02024,3-phenylpropionic acid,C0047696
DB02044,N-(3-(aminomethyl)benzyl)acetamidine,C0536682
DB02045,Amylamine,C0067815
DB02052,Indirubin-3'-monoxime,C1258310
DB02053,Ribose-5-phosphate,C0140515
DB02054,Gabaculine,C0060924
DB02056,Prostaglandin d2,C0033532
DB02071,Way-151693,C0961296
DB02076,6-phospho-d-gluconic acid,C1567009
DB02078,Triglyme,C0077131
DB02079,Aminooxyacetic acid,C0002569
DB02089,Cp-526423,C0971152
DB02095,Isatin,C0022115
DB02097,Cytidine,C0010715
DB02109,Hadacidin,C0062077
DB02113,6-methylpurine,C0049660
DB02116,Olomoucine,C0289993
DB02119,"6-hydroxymethyl-7,8-dihydropterin",C1528453
DB02121,Butyramide,C0054310
DB02130,Vanillic acid,C0042315
DB02132,Zenarestat,C0149322
DB02152,K-252a,C0124355
DB02166,Propidium,C0033468
DB02175,Malonic acid,C0065591
DB02178,Phenylacetaldehyde,C0070619
DB02180,Myristoyl-coa,C0073910
DB02209,Pyridoxine phosphate,C0072716
DB02216,S-methylcysteine,C0073886
DB02230,Immucillin-g,C0676717
DB02234,S-ethylisothiourea,C0059860
DB02236,Glycinamide ribonucleotide,C0911343
DB02249,2-ethoxyethanol,C0046088
DB02251,O-succinylbenzoate,C0093723
DB02255,Gm6001,C0210353
DB02256,2'-deoxyuridine,C0011535
DB02260,4-oxosebacic acid,C1096922
DB02261,Platelet activating factor,C0032172
DB02262,Orotic acid,C0029300
DB02263,Glyceraldehyde-3-phosphate,C0017855
DB02266,Flufenamic acid,C0016282
DB02267,Argininosuccinate,C0368700
DB02272,Porphobilinogen,C0032704
DB02274,7-keto-8-aminopelargonic acid,C0049919
DB02279,Benzoylformic acid,C0070679
DB02281,Formycin,C0016595
DB02282,5'-deoxy-5'-methylthioadenosine,C0048819
DB02285,Protoporphyrin,C0033733
DB02292,Irosustat,C3853843
DB02307,N-(1-carboxy-3-phenylpropyl)phenylalanyl-alpha-asparagine,C2354827
DB02315,Cyclic guanosine monophosphate,C0018338
DB02323,Em-1745,C1609820
DB02327,Triethylene glycol,C0077100
DB02329,Carbenoxolone,C0006979
DB02335,2-aminothiazoline,C0045901
DB02341,"Mdl 101,146",C0257124
DB02342,2-methoxyestradiol,C0046319
DB02345,Selenocysteine,C0074289
DB02347,2-amino-3-(5-tert-butyl-3-(phosphonomethoxy)-4-isoxazolyl)propionic acid,C0672264
DB02362,Aminobenzoic acid,C0000473
DB02375,Myricetin,C0067067
DB02381,Nor-noha,C4519132
DB02383,Tolrestat,C0076808
DB02386,Leucine phosphonic acid,C0300115
DB02401,"4-hydroxy-1,2,5-oxadiazole-3-carboxylic acid",C1613342
DB02403,2-fluoroaniline,C0080778
DB02405,12-bromododecanoic acid,C0377530
DB02417,"2,4,6-tribromophenol",C0045436
DB02426,Carboxyatractyloside,C0054734
DB02430,Trehalose-6-phosphate,C0219220
DB02431,Cytidine-5'-triphosphate,C0010734
DB02458,"S-(2,4-dinitrophenyl)glutathione",C0073796
DB02464,Benzylamine,C0005106
DB02481,N-benzylformamide,C1568782
DB02486,2-hydroxyethyl disulfide,C0046204
DB02492,Ghavamiol,C0968193
DB02496,1-deoxy-d-xylulose 5-phosphate,C0668700
DB02509,Farnesol,C0015637
DB02518,N-acetylalanine,C0067673
DB02527,Cyclic adenosine monophosphate,C0001455
DB02530,Gamma-aminobutyric acid,C0016904
DB02534,2-allylphenol,C0389334
DB02545,Fexaramine,C1258853
DB02556,D-phenylalanine,C0771172
DB02557,Phosphoramidon,C0070915
DB02561,Beta-d-fructopyranose,C0304481
DB02563,Hexanoyl-coa,C0284959
DB02570,Pd150606,C0391054
DB02587,Colforsin,C0917964
DB02590,Abequose,C0050362
DB02591,"5,6-dimethylbenzimidazole",C0048924
DB02594,2'-deoxycytidine,C0011485
DB02595,Bulgecin a,C0912774
DB02607,Adenosine phosphonoacetic acid,C1723405
DB02621,Latrunculin a,C0064677
DB02624,Homoserine lactone,C0257136
DB02638,Terlipressin,C0145185
DB02640,Fumagillin,C0060819
DB02643,"N-dodecyl-n,n-dimethyl-3-ammonio-1-propanesulfonate",C1721145
DB02656,Ly-294002,C0251991
DB02657,Glucosamine 6-phosphate,C0061393
DB02660,Filaminast,C0950896
DB02671,1-methylimidazole,C0044472
DB02679,Cyanamide,C0010502
DB02690,Nu1025,C0760209
DB02712,Sorbinil,C0074909
DB02715,Compound 18,C0605321
DB02721,4-iodopyrazole,C0048417
DB02727,N-butyl-n'-hydroxyguanidine,C1098086
DB02731,Ethylmercurithiosalicylic acid,C3848528
DB02736,Acetamide,C0050423
DB02742,Kifunensine,C0083136
DB02745,Uridine,C0041984
DB02746,Phthalic acid,C0070968
DB02749,Pyromellitic acid,C0072765
DB02751,Glycocyamine,C0061626
DB02757,Pyrazole,C0072662
DB02772,Sucrose,C0038636
DB02793,Isochorismic acid,C0063947
DB02795,P-anisic acid,C0048070
DB02796,9-deazainosine,C0050213
DB02797,3-nitrophenylboronic acid,C0047631
DB02810,N-(2-acetamido)iminodiacetic acid,C0067454
DB02821,Canaline,C0054571
DB02822,Para-bromobenzyl alcohol,C0048125
DB02823,Phosphonoacetic acid,C0031681
DB02828,5-fluorolevulinic acid,C1138233
DB02832,Siroheme,C0074581
DB02834,Idd552,C1565711
DB02839,"2,4-dihydroxybenzoic acid",C0053502
DB02844,"S-adenosyl-1,8-diamino-3-thiooctane",C0073841
DB02855,N-(3-propylcarbamoyloxirane-2-carbonyl)-isoleucyl-proline,C0107942
DB02857,Guanosine,C0018330
DB02859,Soraphen a,C0252474
DB02860,Calyculin a,C0054549
DB02865,Glucosamine 4-phosphate,C0061391
DB02866,Dansylamide,C0049150
DB02871,3-butylthiolane 1-oxide,C0534917
DB02893,D-methionine,C4534672
DB02896,Methylthioinosine,C0025828
DB02901,Stanolone,C0038148
DB02910,Octanoyl-coenzyme a,C0069343
DB02929,K201,C4534673
DB02935,Diglyme,C0058023
DB02938,Heptanoic acid,C0443770
DB02942,"Inositol 1,3-bisphosphate",C0063568
DB02948,Fosmidomycin,C0060694
DB02950,Hymenialdisine,C0541197
DB02951,3-hydroxypyruvic acid,C0063194
DB02952,Alpha-aminoisobutyric acid,C0045888
DB02959,Oxitriptan,C0000578
DB02961,Rhamnose,C0035417
DB02962,Benzimidazole,C0005050
DB02967,N-ethylmaleimide,C0015101
DB02969,4-methyl-5-hydroxyethylthiazole,C0076409
DB02974,4-(4-chlorophenyl)imidazole,C2933228
DB02975,Ge-2270a,C0119004
DB02994,Cacodylic acid,C0006628
DB02998,Methyltrienolone,C0025865
DB02999,Quisqualate,C0080073
DB03006,Arsanilic acid,C0003814
DB03008,5-fluoro-beta-l-gulosyl fluoride,C0671160
DB03018,"3,4-dimethylaniline",C2744348
DB03021,Ulapualide a,C0251225
DB03032,S-octylglutathione,C0073901
DB03040,Nitrilotriacetic acid,C0028132
DB03044,1-(5-tert-butyl-2-p-tolyl-2h-pyrazol-3-yl)-3-[4-(2-morpholin-4-yl-ethoxy)-naphthalen-1-yl]-urea,C4534674
DB03051,Tetrahydrofuran-2-carboxylic acid,C2001879
DB03052,Dazoxiben,C0057167
DB03058,2-aminobenzyl alcohol,C0649156
DB03060,Sri-9662,C1138341
DB03064,"3-decyl-2,5-dioxo-4-hydroxy-3-pyrroline",C0664311
DB03066,D-lactic acid,C3658295
DB03068,Zebularine,C0084253
DB03073,3-methoxybenzamide,C0047550
DB03083,Ic261,C0916188
DB03085,Glycolic acid,C1533643
DB03088,Pidolic acid,C0034330
DB03100,6-nitroindazole,C0535648
DB03106,Scyllo-inositol,C0074214
DB03107,Beta-alanine,C0000392
DB03110,2-chlorophenol,C0046030
DB03111,Glucosamine 1-phosphate,C0207900
DB03120,Para-toluene sulfonate,C0048718
DB03126,Mant-adp,C0216854
DB03127,Benzamidine,C0053140
DB03128,Acetylcholine,C0001041
DB03132,3-(2-benzothiazolylthio)-1-propanesulfonic acid,C2933642
DB03138,Perchlorate,C0136082
DB03144,N-omega-hydroxy-l-arginine,C0129789
DB03147,Flavin adenine dinucleotide,C0015540
DB03157,"N,o-didansyl-l-tyrosine",C1120217
DB03166,Acetic acid,C0000983
DB03167,Pentabromophenol,C0386917
DB03172,Tubercidin,C0041286
DB03175,Propyl alcohol,C0001964
DB03176,Kb-141,C1312437
DB03177,5-methylbenzimidazole,C2935723
DB03180,"4,5-dimethyl-1,2-phenylenediamine",C0096333
DB03193,Stearic acid,C0038229
DB03197,6-hydroxymethylpterin,C0049620
DB03203,Sphingosine,C0037907
DB03205,Pyrroloquinoline quinone,C0066153
DB03206,Duvoglustat,C2828284
DB03214,Vinylglycine,C0078274
DB03218,N-acetyl-n'-beta-d-glucopyranosyl urea,C1122889
DB03223,Diphthamide,C0058399
DB03226,Trifluoroethanol,C0040983
DB03227,Nicotinamide mononucleotide,C0028032
DB03238,"3,5-difluoroaniline",C4043804
DB03243,4-fluorobenzylamine,C0758106
DB03247,Flavin mononucleotide,C0016388
DB03251,Rwj-51084,C0911293
DB03255,Phenol,C0031428
DB03258,2'-deoxycytidine 5'-triphosphate,C0045191
DB03260,"1,6-diaminohexane",C0044046
DB03298,Phenylphosphate,C0168584
DB03309,N-cyclohexyltaurine,C0092271
DB03310,Glutathione disulfide,C0061516
DB03312,Brivudine,C0163272
DB03313,Cephalosporin c,C0055075
DB03316,"1,4-diethylene dioxide",C0044018
DB03317,Heme c,C0062213
DB03323,Maltose,C0024658
DB03326,"Deoxycytidylyl-3',5'-guanosine",C0609910
DB03336,Bia,C1061346
DB03348,Huperzine b,C0063034
DB03351,Sri-9439,C1138342
DB03354,"2-(beta-d-glucopyranosyl)-5-methyl-1,3,4-oxadiazole",C1571317
DB03369,9-aminophenanthrene,C0620974
DB03381,Hexadecanal,C0062615
DB03385,4-methylimidazole,C0048498
DB03395,Enalkiren,C0059089
DB03399,Ethyl isocyanide,C0059767
DB03404,Hemin,C0018988
DB03408,Gamma-glutamylcysteine,C0061060
DB03424,Ubenimex,C0053355
DB03425,"2s,4r-4-methylglutamate",C0526002
DB03428,Su9516,C0969277
DB03429,Cardiolipin,C0007188
DB03436,Gallichrome,C0913743
DB03459,Sparfosic acid,C0069076
DB03462,Thymine,C0040087
DB03469,Heme d,C0215172
DB03493,7-methylguanosine,C0049942
DB03509,2-(4-chlorophenyl)-5-quinoxalinecarboxamide,C1528188
DB03516,Eniluracil,C0098361
DB03535,Z-pro-prolinal,C0067848
DB03544,S-phosphocysteine,C0073905
DB03552,3-tyrosine,C0047729
DB03553,Glutaric acid,C0061506
DB03554,5-iodouracil,C0049272
DB03566,Spermidine,C0037871
DB03568,Butyric acid,C0006523
DB03581,Glucose-6-phosphate,C0061418
DB03587,Pyruvaldehyde,C0034338
DB03588,Diphenylacetic acid,C0058374
DB03589,Alpha-ketomalonic acid,C0066027
DB03590,"2,6-diaminopimelic acid",C0011961
DB03594,"1,2,4-triazole",C0043764
DB03600,Capric acid,C0057239
DB03603,Glucaric acid,C0017697
DB03608,Diminazene,C0012447
DB03609,3-deoxyguanosine,C1259655
DB03612,3-hydroxybutyryl-coenzyme a,C0080968
DB03614,Methylcobalamin,C0065844
DB03616,Kabiramide c,C1506284
DB03632,Argifin,C0960893
DB03635,Ethanesulfonic acid,C0206794
DB03640,Beta-hydroxyaspartic acid,C0047446
DB03659,Butylamine,C0303836
DB03668,1-(5'-phospho-beta-d-ribofuranosyl)barbituric acid,C0044219
DB03682,"Dibenzofuran-4,6-dicarboxylic acid",C0913745
DB03685,Uridine monophosphate,C0042002
DB03693,N-(2-aminoethyl)-5-chloroisoquinoline-8-sulfonamide,C0067455
DB03695,Piritrexim,C0054332
DB03696,Lanosterol,C0023025
DB03703,Cyclohexanol,C0010569
DB03704,12-hydroxydodecanoic acid,C0080557
DB03708,Adenosine 5'-phosphosulfate,C0001468
DB03709,Bicine,C0067332
DB03727,Coproporphyrin i,C0056315
DB03734,Xylarohydroxamate,C0914451
DB03740,N-acetyl-alpha-d-glucosamine,C3714519
DB03750,Isovaleric acid,C0064094
DB03752,P-(2'-iodo-5'-thenoyl)hydrotropic acid,C0390300
DB03759,Fg-9041,C0060311
DB03760,Dihydrolipoic acid,C0163115
DB03761,5-fluoro-2'-deoxyuridine-5'-monophosphate,C0016344
DB03766,Propanoic acid,C0072186
DB03796,Palmitic acid,C0030234
DB03799,Trifluoromethionine,C0618380
DB03800,2'-deoxyuridylic acid,C0045203
DB03808,Hexamidine,C0062648
DB03811,Histidinol,C0019607
DB03815,Fucitol,C1176069
DB03822,Ethyl dihydrogen phosphate,C0757172
DB03825,Rhodamine 6g,C0073193
DB03841,Y-700,C0969256
DB03848,Benzenesulfinic acid,C0965855
DB03849,Cilomilast,C0968887
DB03850,Jaspisamide a,C0659881
DB03856,L-eflornithine,C4534675
DB03864,Monothioglycerol,C0076470
DB03866,Prostaglandin g2,C0072287
DB03868,3-dehydroquinic acid,C1258719
DB03880,Batimastat,C0215791
DB03881,Mt-immucillin-h,C1700732
DB03884,Phenylpyruvic acid,C0031499
DB03886,Biopterin,C0005562
DB03889,S-(n-hydroxy-n-bromophenylcarbamoyl)glutathione,C0910448
DB03896,Triphosphoric acid,C0077266
DB03900,2-methyl-2-propanol,C0076141
DB03902,Oxalic acid,C0069715
DB03904,Urea,C0041942
DB03912,4'-phosphopantetheine,C0047786
DB03925,Freselestat,C3272707
DB03929,D-serine,C1880218
DB03932,Lfa703,C0967436
DB03940,Oxamic acid,C0029992
DB03955,1-deoxymannojirimycin,C0089266
DB03956,"Inositol 2,4,5-trisphosphate",C0063575
DB03967,Dodecyl sulfate,C0058632
DB03974,L-homoarginine,C4068474
DB03994,Ethanolamine,C0014983
DB03995,Betadex,C0053407
DB04005,Uridine 5'-triphosphate,C4535730
DB04014,Alsterpaullone,C0908170
DB04027,D-arginine,C2699543
DB04028,Tyvelose,C0077601
DB04029,Phenylalanine amide,C0070630
DB04036,Coenzyme a persulfide,C0630880
DB04052,"3,4-dimethylphenol",C0080889
DB04071,Cpad,C1413867
DB04074,Alpha-ketoisovalerate,C0051398
DB04079,"Heptane-1,2,3-triol",C0121513
DB04090,Rh-1,C4534676
DB04092,Apstatin,C0384979
DB04094,4-hydroxy-2-butanone,C4042107
DB04098,Balanol,C0283149
DB04103,3-methylcytosine,C0047587
DB04104,3-methyladenine,C0047569
DB04106,Fotemustine,C0060696
DB04113,N-formylpiperidine,C0537575
DB04116,Allolactose,C0051211
DB04124,Aurodox,C0003229
DB04129,Willardiine,C0148753
DB04132,S-hexylglutathione,C0062688
DB04143,Indole-3-glycerol phosphate,C0063505
DB04166,Anthranilic acid,C0051959
DB04167,Aceglutamide,C0050407
DB04173,Fructose,C0016745
DB04175,Mdl-29951,C3849927
DB04179,Benzofuran,C0005068
DB04185,Norvaline,C0069035
DB04194,Chitotriose,C0055322
DB04196,Pteroic acid,C0072579
DB04198,Formycin b,C0060662
DB04209,Dequalinium,C0011588
DB04214,4-nitrophenyl phosphate,C0134796
DB04217,L-2-amino-3-butynoic acid,C0124862
DB04220,Cgp 4832,C0632791
DB04223,Nitroarginine,C0068821
DB04224,Oleic acid,C0028928
DB04242,P-hydroxybenzoic acid,C0048323
DB04253,Tretazicar,C0097964
DB04257,Palmitoleic acid,C0069966
DB04267,Dipicolinic acid,C0058406
DB04269,Cyclotheonamide a,C0217787
DB04295,N-benzoyl-n'-beta-d-glucopyranosyl urea,C1122648
DB04299,Maleic acid,C0065571
DB04311,4-phenylbutylamine,C0908956
DB04314,1-methylcytosine,C0044466
DB04324,Ovalicin,C0069690
DB04325,Phenethylamine,C0031399
DB04326,Dihydroxyacetone phosphate,C0012324
DB04327,Phosphatidylethanolamine,C0031618
DB04328,Shikimate-3-phosphate,C0142221
DB04331,Monastrol,C0910067
DB04334,6-hydroxydopa quinone,C0099238
DB04335,Inosine,C0021528
DB04336,1-(4-amidinophenyl)-3-(4-chlorophenyl)urea,C0761362
DB04337,Methyl isocyanide,C0066390
DB04338,Sb220025,C0671378
DB04339,Carbocisteine,C0006992
DB04343,Glyoxylic acid,C0061762
DB04345,"7,8-dimethylalloxazine",C0099587
DB04347,3-dehydroshikimate,C0383128
DB04350,Argadin,C0963828
DB04365,Arecoline,C0003753
DB04367,Debromohymenialdisine,C0385835
DB04368,Bb-3497,C0965832
DB04374,"4-carboxy-5-(1-pentyl)hexylsulfanyl-1,2,3-triazole",C0664309
DB04381,Crotonaldehyde,C0045968
DB04385,3-deazacytidine,C0047331
DB04391,Aeruginosin 98-b,C1175241
DB04396,Thiodigalactoside,C0076461
DB04398,Lactic acid,C0064582
